,phrase,funny count,percent funny
0,what did the,3430,1.0
1,take to change,1037,1.0
2,knock knock who,954,1.0
3,knock who is,947,1.0
4,to screw in,789,1.0
5,you call an,784,1.0
6,screw in a,768,1.0
7,take to screw,767,1.0
8,in common they,753,1.0
9,like my women,618,1.0
10,like i like,611,1.0
11,a bar the,566,1.0
12,change a lightbulb,559,1.0
13,say when he,543,1.0
14,man walks into,481,1.0
15,what did one,467,1.0
16,when you cross,449,1.0
17,have you heard,441,1.0
18,like my coffee,414,1.0
19,you cross a,410,1.0
20,in a lightbulb,409,1.0
21,the bartender says,399,1.0
22,common they both,396,1.0
23,call it when,385,1.0
24,a man walks,363,1.0
25,why could not,363,1.0
26,my women like,343,1.0
27,bar the bartender,341,1.0
28,women like i,319,1.0
29,you get if,312,1.0
30,q what is,303,1.0
31,get if you,297,1.0
32,chicken cross the,295,1.0
33,the chicken cross,284,1.0
34,wan na hear,259,1.0
35,could not the,258,1.0
36,can not you,256,1.0
37,other is a,254,1.0
38,about the guy,246,1.0
39,the one about,238,1.0
40,what do a,238,1.0
41,my girlfriend is,236,1.0
42,call a black,230,1.0
43,what is black,228,1.0
44,you call someone,226,1.0
45,my year old,222,1.0
46,na hear a,220,1.0
47,is it called,218,1.0
48,girl are you,217,1.0
49,if you cross,213,1.0
50,common they are,211,1.0
51,hate it when,210,1.0
52,do you tell,208,1.0
53,one about the,208,1.0
54,hear a joke,203,1.0
55,call a cow,201,1.0
56,you tell if,199,1.0
57,guy walks into,198,1.0
58,a bar he,196,1.0
59,do you find,193,1.0
60,yo mama so,189,1.0
61,the road because,185,1.0
62,call a mexican,185,1.0
63,how i like,179,1.0
64,hear the one,179,1.0
65,world those who,175,1.0
66,with no legs,174,1.0
67,a lightbulb none,173,1.0
68,is so fat,171,1.0
69,see myself out,169,1.0
70,call someone who,166,1.0
71,a garbanzo bean,164,1.0
72,q how many,160,1.0
73,other and says,159,1.0
74,it when a,157,1.0
75,light bulb none,156,1.0
76,it called when,156,1.0
77,knock knock knock,156,1.0
78,will see myself,155,1.0
79,you wan na,154,1.0
80,guess you could,152,1.0
81,it was cool,151,1.0
82,did the man,151,1.0
83,happens when you,151,1.0
84,what is brown,150,1.0
85,call a gay,149,1.0
86,joke about the,148,1.0
87,roses are red,147,1.0
88,why should you,145,1.0
89,give a man,144,1.0
90,just saw a,143,1.0
91,you call two,143,1.0
92,q what did,143,1.0
93,a cow with,143,1.0
94,did the hipster,142,1.0
95,i hate it,142,1.0
96,my coffee like,140,1.0
97,what is green,140,1.0
98,told me this,139,1.0
99,how many feminists,139,1.0
100,why do women,139,1.0
101,what does an,137,1.0
102,i met a,135,1.0
103,why are not,135,1.0
104,worst part about,135,1.0
105,a gay bar,134,1.0
106,know why i,134,1.0
107,with no arms,134,1.0
108,feminists does it,134,1.0
109,call a group,133,1.0
110,many feminists does,133,1.0
111,and smells like,132,1.0
112,broke up with,131,1.0
113,a bar link,130,1.0
114,mama is so,129,1.0
115,will show myself,129,1.0
116,show myself out,129,1.0
117,a guy with,128,1.0
118,a pirate is,128,1.0
119,say when it,128,1.0
120,coffee like i,127,1.0
121,small medium at,125,1.0
122,medium at large,125,1.0
123,this world those,125,1.0
124,you say to,124,1.0
125,there are types,124,1.0
126,and says i,124,1.0
127,a guy walks,123,1.0
128,are types of,122,1.0
129,yo mama is,121,1.0
130,in a tank,121,1.0
131,did the blonde,120,1.0
