,word,notfunny count,percent notfunny
0,sept,1186,0.9983164983164983
1,upi,590,0.9983079526226735
2,spokeswoman,489,0.9979591836734694
3,ltd,392,0.9974554707379135
4,regional,352,0.9971671388101983
5,coalition,350,0.9971509971509972
6,nov,624,0.9968051118210862
7,programme,298,0.9966555183946488
8,fiscal,296,0.9966329966329966
9,equity,284,0.9964912280701754
10,giuliani,561,0.9964476021314387
11,cooperation,276,0.9963898916967509
12,strategic,268,0.9962825278810409
13,lender,227,0.9956140350877193
14,province,453,0.9956043956043956
15,ministry,452,0.9955947136563876
16,petraeus,226,0.9955947136563876
17,sarkozy,222,0.9955156950672646
18,insurgent,217,0.9954128440366973
19,spokesman,1299,0.9954022988505747
20,gmt,216,0.9953917050691244
21,ahmadinejad,209,0.9952380952380953
22,allege,372,0.9946524064171123
23,alqaida,184,0.9945945945945946
24,infrastructure,182,0.994535519125683
25,rockies,179,0.9944444444444445
26,crackdown,173,0.9942528735632183
27,assessment,169,0.9941176470588236
28,rodriguez,166,0.9940119760479041
29,thompson,481,0.993801652892562
30,lebanon,158,0.9937106918238994
31,initiative,311,0.9936102236421726
32,revenue,767,0.9935233160621761
33,sen,458,0.9934924078091106
34,impose,301,0.9933993399339934
35,holding,149,0.9933333333333333
36,hampshire,295,0.9932659932659933
37,chavez,145,0.9931506849315068
38,nyse,145,0.9931506849315068
39,acquisition,288,0.993103448275862
40,northeast,142,0.993006993006993
41,llc,140,0.9929078014184397
42,ap,1455,0.9924965893587995
43,delegation,128,0.9922480620155039
44,adviser,254,0.9921875
45,metropolitan,124,0.992
46,contribute,609,0.99185667752443
47,gen,363,0.9918032786885246
48,extraordinary,120,0.9917355371900827
49,consumer,958,0.9917184265010351
50,hamas,233,0.9914893617021276
51,successor,116,0.9914529914529915
52,completion,113,0.9912280701754386
53,rodham,112,0.9911504424778761
54,opposition,670,0.9911242603550295
55,reid,111,0.9910714285714286
56,commission,774,0.9910371318822023
57,quarterfinal,110,0.990990990990991
58,chairman,765,0.9909326424870466
59,kosovo,108,0.9908256880733946
60,sanction,321,0.9907407407407407
61,testimony,214,0.9907407407407407
62,dynamic,107,0.9907407407407407
63,sgt,107,0.9907407407407407
64,prospect,212,0.9906542056074766
65,provision,210,0.9905660377358491
66,evans,104,0.9904761904761905
67,twothirds,104,0.9904761904761905
68,legislative,102,0.9902912621359223
69,crocker,102,0.9902912621359223
70,litigation,102,0.9902912621359223
71,strengthen,195,0.9898477157360406
72,affiliate,97,0.9897959183673469
73,venezuela,96,0.9896907216494846
74,serbia,96,0.9896907216494846
75,mccain,377,0.989501312335958
76,subsequent,94,0.9894736842105263
77,restructuring,94,0.9894736842105263
78,investor,843,0.9894366197183099
79,oversight,93,0.9893617021276596
80,administration,919,0.9892357373519914
81,tehran,183,0.9891891891891892
82,comparable,91,0.9891304347826086
83,expertise,91,0.9891304347826086
84,diplomatic,179,0.988950276243094
85,output,89,0.9888888888888889
86,primarily,175,0.9887005649717514
87,amid,349,0.9886685552407932
88,involvement,174,0.9886363636363636
89,advocacy,87,0.9886363636363636
90,phillies,87,0.9886363636363636
91,dow,173,0.9885714285714285
92,undermine,86,0.9885057471264368
93,inc,1113,0.9884547069271759
94,sentiment,85,0.9883720930232558
95,oust,85,0.9883720930232558
96,yen,85,0.9883720930232558
97,karachi,85,0.9883720930232558
98,prosecution,168,0.9882352941176471
99,scrutiny,84,0.9882352941176471
100,leadership,418,0.9881796690307328
101,margin,249,0.9880952380952381
102,hsu,83,0.9880952380952381
103,predecessor,83,0.9880952380952381
104,nashville,83,0.9880952380952381
105,sectarian,83,0.9880952380952381
106,clemens,83,0.9880952380952381
107,milwaukee,81,0.9878048780487805
108,observer,161,0.9877300613496932
109,robust,80,0.9876543209876543
110,region,957,0.9876160990712074
111,widespread,158,0.9875
112,thomson,79,0.9875
113,sox,312,0.9873417721518988
114,ankara,78,0.9873417721518988
115,sought,308,0.9871794871794872
116,nadal,77,0.9871794871794872
117,burma,151,0.9869281045751634
118,capability,150,0.9868421052631579
119,buyout,75,0.9868421052631579
120,stevens,75,0.9868421052631579
121,prominent,149,0.9867549668874173
122,agriculture,148,0.9866666666666667
123,timetable,74,0.9866666666666667
124,ceasefire,74,0.9866666666666667
125,indianapolis,74,0.9866666666666667
126,ethanol,74,0.9866666666666667
127,singapore,147,0.9865771812080537
128,diplomat,220,0.9865470852017937
129,lawmaker,366,0.9865229110512129
130,islamabad,146,0.9864864864864865
131,sharif,146,0.9864864864864865
132,minneapolis,73,0.9864864864864865
133,barclays,73,0.9864864864864865
134,bernanke,73,0.9864864864864865
135,alonso,73,0.9864864864864865
136,broadcaster,73,0.9864864864864865
137,exile,145,0.9863945578231292
138,jeffs,72,0.9863013698630136
139,fernando,72,0.9863013698630136
140,interception,143,0.9862068965517241
141,negotiation,357,0.9861878453038674
142,clinical,214,0.9861751152073732
143,rebound,213,0.9861111111111112
144,supplier,141,0.986013986013986
145,allegedly,210,0.9859154929577465
146,enables,70,0.9859154929577465
147,lobbyist,70,0.9859154929577465
148,gm,209,0.9858490566037735
149,gov,209,0.9858490566037735
150,gaap,69,0.9857142857142858
151,killing,137,0.9856115107913669
152,afp,137,0.9856115107913669
153,turmoil,137,0.9856115107913669
154,settlement,272,0.9855072463768116
155,northwest,136,0.9855072463768116
156,gonzalez,68,0.9855072463768116
157,kurdistan,68,0.9855072463768116
158,venezuelan,68,0.9855072463768116
159,adverse,68,0.9855072463768116
160,duncan,67,0.9852941176470589
161,notably,67,0.9852941176470589
162,federal,1537,0.9852564102564103
163,rudy,133,0.9851851851851852
164,offset,132,0.9850746268656716
165,payroll,66,0.9850746268656716
166,aberdeen,66,0.9850746268656716
167,assess,66,0.9850746268656716
168,td,66,0.9850746268656716
169,huckabee,194,0.9847715736040609
170,extent,128,0.9846153846153847
171,herald,64,0.9846153846153847
172,refusal,64,0.9846153846153847
173,displace,64,0.9846153846153847
174,accordance,64,0.9846153846153847
175,tribune,64,0.9846153846153847
176,county,958,0.9845837615621789
177,corp,510,0.9845559845559846
178,substantial,127,0.9844961240310077
179,thirdquarter,127,0.9844961240310077
180,oracle,63,0.984375
181,inning,503,0.9843444227005871
182,largely,311,0.9841772151898734
183,deteriorate,62,0.9841269841269841
184,contrast,185,0.9840425531914894
185,deputy,430,0.9839816933638444
186,chronicle,61,0.9838709677419355
187,mahmoud,120,0.9836065573770492
188,antiwar,59,0.9833333333333333
189,internationally,59,0.9833333333333333
190,villa,59,0.9833333333333333
191,unprecedented,116,0.9830508474576272
192,weaken,116,0.9830508474576272
193,rutgers,58,0.9830508474576272
194,burmese,58,0.9830508474576272
195,hezbollah,58,0.9830508474576272
196,evangelical,58,0.9830508474576272
197,associate,1097,0.9829749103942652
198,sudan,173,0.9829545454545454
199,dubbed,57,0.9827586206896551
200,transcript,57,0.9827586206896551
201,transformation,57,0.9827586206896551
202,incentive,113,0.9826086956521739
203,administrative,112,0.9824561403508771
204,incursion,56,0.9824561403508771
205,heighten,56,0.9824561403508771
206,depreciation,56,0.9824561403508771
207,kerik,56,0.9824561403508771
208,respondent,56,0.9824561403508771
209,troop,1060,0.9823911028730306
210,civilian,444,0.9823008849557522
211,charter,110,0.9821428571428571
212,finalist,55,0.9821428571428571
213,elli,55,0.9821428571428571
214,stabilize,55,0.9821428571428571
215,safeguard,55,0.9821428571428571
216,robertson,55,0.9821428571428571
217,percent,3540,0.9819694868238558
218,socalled,163,0.9819277108433735
219,weve,108,0.9818181818181818
220,fema,54,0.9818181818181818
221,workforce,54,0.9818181818181818
222,defer,54,0.9818181818181818
223,garcia,54,0.9818181818181818
224,sprawl,54,0.9818181818181818
225,pending,160,0.9815950920245399
226,recommendation,160,0.9815950920245399
227,khartoum,53,0.9814814814814815
228,unchanged,53,0.9814814814814815
229,newark,53,0.9814814814814815
230,characterize,53,0.9814814814814815
231,incur,53,0.9814814814814815
232,proxy,53,0.9814814814814815
233,disclose,158,0.9813664596273292
234,authorize,157,0.98125
235,partnership,260,0.9811320754716981
236,negotiator,104,0.9811320754716981
237,nawaz,52,0.9811320754716981
238,mideast,52,0.9811320754716981
239,wildfire,103,0.9809523809523809
240,ruling,410,0.9808612440191388
241,september,1378,0.9807829181494662
242,finding,255,0.9807692307692307
243,ottawa,51,0.9807692307692307
244,fouryear,51,0.9807692307692307
245,ratify,51,0.9807692307692307
246,stability,152,0.9806451612903225
247,liability,101,0.9805825242718447
248,growth,955,0.9804928131416838
249,licensing,50,0.9803921568627451
250,unrest,50,0.9803921568627451
251,midfielder,50,0.9803921568627451
252,myers,50,0.9803921568627451
253,bahrain,50,0.9803921568627451
254,commodity,99,0.9801980198019802
255,regime,246,0.9800796812749004
256,kimoon,49,0.98
257,southeastern,49,0.98
258,moines,49,0.98
259,reliance,49,0.98
260,heathrow,49,0.98
261,putt,49,0.98
262,unnamed,49,0.98
263,sri,97,0.9797979797979798
264,longtime,145,0.9797297297297297
265,sideline,145,0.9797297297297297
266,council,867,0.9796610169491525
267,militant,481,0.9796334012219959
268,opt,96,0.9795918367346939
269,indictment,96,0.9795918367346939
270,lowincome,48,0.9795918367346939
271,opposes,48,0.9795918367346939
272,suffolk,48,0.9795918367346939
273,slat,48,0.9795918367346939
274,jacksonville,48,0.9795918367346939
275,carnegie,48,0.9795918367346939
276,henderson,48,0.9795918367346939
277,eventual,48,0.9795918367346939
278,onethird,48,0.9795918367346939
279,urgency,48,0.9795918367346939
280,investigative,48,0.9795918367346939
281,portfolio,191,0.9794871794871794
282,rural,190,0.979381443298969
283,knicks,95,0.979381443298969
284,mrsa,47,0.9791666666666666
285,threegame,47,0.9791666666666666
286,constituency,47,0.9791666666666666
287,respiratory,47,0.9791666666666666
288,kilometre,47,0.9791666666666666
289,capped,47,0.9791666666666666
290,parish,47,0.9791666666666666
291,wildcard,47,0.9791666666666666
292,nielsen,47,0.9791666666666666
293,notable,47,0.9791666666666666
294,puck,47,0.9791666666666666
295,norfolk,47,0.9791666666666666
296,refinery,47,0.9791666666666666
297,beijing,327,0.9790419161676647
298,similarly,93,0.9789473684210527
299,congressional,232,0.9789029535864979
300,persuade,139,0.9788732394366197
301,uncertainty,277,0.9787985865724381
302,solicitation,46,0.9787234042553191
303,arlington,46,0.9787234042553191
304,deepen,46,0.9787234042553191
305,fairfax,46,0.9787234042553191
306,surge,319,0.9785276073619632
307,pricing,91,0.978494623655914
308,committee,905,0.9783783783783784
309,agency,1397,0.9782913165266106
310,sector,405,0.9782608695652174
311,campbell,135,0.9782608695652174
312,kerry,90,0.9782608695652174
313,hayes,45,0.9782608695652174
314,persist,45,0.9782608695652174
315,travis,45,0.9782608695652174
316,distinction,45,0.9782608695652174
317,oversees,45,0.9782608695652174
318,shaw,45,0.9782608695652174
319,investigation,805,0.9781287970838396
320,pledge,268,0.9781021897810219
321,nevada,134,0.9781021897810219
322,guideline,134,0.9781021897810219
323,ongoing,223,0.9780701754385965
324,briefing,89,0.978021978021978
325,economic,933,0.9779874213836478
326,federer,133,0.9779411764705882
327,legislation,353,0.9778393351800554
328,milan,88,0.9777777777777777
329,blackburn,44,0.9777777777777777
330,grower,44,0.9777777777777777
331,sacramento,44,0.9777777777777777
332,bradford,44,0.9777777777777777
333,turbulent,44,0.9777777777777777
334,impairment,44,0.9777777777777777
335,hopkins,44,0.9777777777777777
336,matchup,44,0.9777777777777777
337,lifethreatening,44,0.9777777777777777
338,wreckage,44,0.9777777777777777
339,ag,44,0.9777777777777777
340,meyer,44,0.9777777777777777
341,wicket,44,0.9777777777777777
342,sovereignty,44,0.9777777777777777
343,convene,44,0.9777777777777777
344,meantime,44,0.9777777777777777
